original,augmented,method
to show these characters in the act and give them no feelings of remorse -- and to cut repeatedly to the flashback of the original rape -- is overkill to the highest degree .,to show these characters in the act and not to give them any sense of remorse -- and to cut several times to the flashback of the original rape -- is overkilled to the highest degree.,back_translation
has its share of arresting images .,has its share of shutdown images.,back_translation
the movie 's heavy-handed screenplay navigates a fast fade into pomposity and pretentiousness .,the screenplay of the film by heavy hand navigates a fast fade in pompousness and pretentiousness.,back_translation
it 's deep-sixed by a compulsion to catalog every bodily fluids gag in there 's something about mary and devise a parallel clone-gag .,It is deeply six-parted by a constraint to catalog all the body fluids gag in there is something about Mary and to design a parallel-gag clone.,back_translation
it is there to give them a good time .,He's here to give them a good time.,back_translation
"whether our action-and-popcorn obsessed culture will embrace this engaging and literate psychodrama is n't much of a mystery , unfortunately .","If our culture obsessed with action and popcorn will embrace this engaging and literate psychodrama is not really a mystery, unfortunately.",back_translation
"the action is reasonably well-done ... yet story , character and comedy bits are too ragged to ever fit smoothly together .","the action is reasonably well done ... but the story, the character and the pieces of comedies are too grated to adapt smoothly.",back_translation
some may choose to interpret the film 's end as hopeful or optimistic but i think payne is after something darker .,"Some may choose to interpret the end of the film as optimistic or optimistic, but I think Payne is after something darker.",back_translation
it 's hard to fairly judge a film like ringu when you 've seen the remake first .,It's hard to judge a movie as a ringu when you saw the remake first.,back_translation
"colorful and deceptively buoyant until it suddenly pulls the rug out from under you , burkinabe filmmaker dani kouyate 's reworking of a folk story whose roots go back to 7th-century oral traditions is also a pointed political allegory .","Colorful and deceptive flotation until he suddenly pulls the carpet from under you, the Burkinabe director dani kouyate reworking a folk history whose roots date back to the oral traditions of the 7th century is also a sharp political allegory.",back_translation
